"Time,fr","Time,min",cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25
1,0.99948773,174.88,157.722,197.514,201.665,150.678,166.704,170.445,197.068,177.286,130.93,149.275,170.235,183.006,165.763,250.509,256.574,117.592,176.049,260.249,252.728,191.517,250.631,251.662,265.673,242.695
2,1.99897546,174.517,158.672,194.499,193.64,148.61,168.903,165.438,194.093,172.984,133.487,149.151,169.695,178.871,166.773,256.349,257.503,120.832,171.128,254.275,250.861,188.305,245.792,251.301,270.475,242.742
3,2.99846319,175.449,159.775,192.108,192.502,150.615,168.05,167.169,193.902,175.079,130.446,148.444,171.324,176.804,165.893,249.869,258.514,124.045,173.766,257.838,253.874,187.43,251.21,250.944,265.49,240.488
4,3.99795092,172.326,160.712,192.475,198.911,150.562,166.155,169.933,196.288,168.787,135.812,143.811,165.95,180.62,165.918,247.258,252.867,124.584,171.073,262.546,250.104,187.493,247.026,247.409,268.078,236.812
5,4.99743865,171.257,157.901,191.708,198.097,149.886,170.233,168.266,195.532,169.423,136.875,150.759,166.355,179.968,166.068,250.794,255.373,124.607,175.594,254.779,252.55,189.43,240.865,249.681,260.092,246.47
6,5.99692638,174.125,157.755,192.358,197.185,150.329,170.913,167.06,192.148,175.413,129.46,149.054,168.779,180.13,166.65,248.351,258.061,122.965,175.206,248.725,247.596,186.486,249.276,244.518,268.939,240.678
7,6.99641411,174.142,156.406,194.429,190.271,151.181,171.341,168.497,193.347,178.179,134.381,150.587,170.605,184.988,167.623,237.929,252.828,123.431,173.612,246.971,247.825,187.559,247.541,242.314,262.896,235.655
8,7.99590184,175.214,159.647,194.857,194.56,145.528,171.802,167.013,193.372,175.912,136.382,148.438,168.58,178.545,167.953,243.647,253.133,124.488,176.791,253.599,251.972,186.793,250.751,243.883,261.044,243.727
9,8.995389571,174.212,157.597,192.08,192.803,148.855,170.819,167.485,195.345,175.898,131.383,148.315,169.245,177.364,162.691,247.453,256.654,121.276,171.352,249.672,251.444,187.821,241.686,245.576,266.403,239.742
10,9.994877301,174.45,156.347,197.894,196.109,148.044,170.297,166.118,192.611,172.089,133.152,147.317,168.061,179.278,164.3,248.74,252.481,124.123,174.171,251.561,250.569,191.336,245.69,245.589,270.322,232.517
11,10.99436503,171.514,157.966,192.007,191.782,144.653,168.76,165.956,195.24,163.316,134.621,148.924,172.627,182.284,163.933,241.745,253.728,124.94,171.638,251.759,244.227,187.289,248.44,242.931,265.319,241.682
12,11.99385276,172.089,154.654,193.599,201.105,152.282,167.436,165.787,195.495,177.62,133.046,146.582,166.121,185.215,168.78,245.048,249.823,129.915,173.955,249.579,245.051,183.733,245.898,245.1,266.948,234.96
13,12.99334049,173.066,157.917,195.788,191.999,146.789,170.051,167.099,190.741,167.978,137.397,149.29,172.434,177.312,164.881,245.947,253.578,123.511,170.997,250.931,248.958,189.5,236.396,243.774,255.133,236.093
